Time [s],Channel,Value
0.007958900,1,32767
0.007970240,2,32767
0.007981585,1,32767
0.007992925,2,32767
0.008004265,1,23045
0.008015605,2,23045
0.008026950,1,21177
0.008038290,2,21177
0.008049630,1,20965
0.008060975,2,20965
0.008072315,1,20277
0.008083655,2,20277
0.008094995,1,19176
0.008106340,2,19176
0.008117680,1,18794
0.008129020,2,18794
0.008140365,1,17544
0.008151705,2,17544
0.008163045,1,17020
0.008174385,2,17020
0.008185730,1,15564
0.008197070,2,15564
0.008208410,1,16670
0.008219750,2,16670
0.008231095,1,28603
0.008242435,2,28603
0.008253775,1,26647
0.008265120,2,26647
0.008276460,1,25683
0.008287800,2,25683
0.008299140,1,23619
0.008310485,2,23619
0.008321825,1,21838
0.008333165,2,21838
0.008344505,1,21171
0.008355850,2,21171
0.008367190,1,17715
0.008378530,2,17715
0.008389875,1,4663
0.008401215,2,4663
0.008412555,1,4313
0.008423895,2,4313
0.008435240,1,2238
0.008446580,2,2238
0.008457920,1,1169
0.008469260,2,1169
0.008480605,1,65362
0.008491945,2,65362
0.008503285,1,62972
0.008514630,2,62972
0.008525970,1,61546
0.008537310,2,61546
0.008548650,1,60375
0.008559995,2,60375
0.008571335,1,58572
0.008582675,2,58572
0.008594015,1,57227
0.008605360,2,57227
0.008616700,1,55949
0.008628040,2,55949
0.008639385,1,54697
0.008650725,2,54697
0.008662065,1,53653
0.008673410,2,53653
0.008684750,1,52314
0.008696090,2,52314
0.008707430,1,51023
0.008718775,2,51023
0.008730115,1,50254
0.008741455,2,50254
0.008752795,1,49298
0.008764140,2,49298
0.008775480,1,48444
0.008786820,2,48444
0.008798160,1,47259
0.008809505,2,47259
0.008820845,1,46763
0.008832185,2,46763
0.008843530,1,45942
0.008854870,2,45942
0.008866210,1,45441
0.008877550,2,45441
0.008888895,1,44890
0.008900235,2,44890
0.008911575,1,44028
0.008922915,2,44028
0.008934260,1,43616
0.008945600,2,43616
0.008956940,1,43457
0.008968285,2,43457
0.008979625,1,43124
0.008990965,2,43124
0.009002305,1,43103
0.009013650,2,43103
